Tabela,Coluna,Tipo de Dado,Aceita Nulo
cash_flow_projection,id,integer,NO
cash_flow_projection,reference_month,date,YES
cash_flow_projection,projected_inflow,numeric,YES
cash_flow_projection,projected_outflow,numeric,YES
cash_flow_projection,synced_at,timestamp with time zone,YES
inventory_links,id,integer,NO
inventory_links,model_id,bigint,YES
inventory_links,internal_sku,text,YES
inventory_links,quantity_on_hand,integer,YES
inventory_links,reserved_quantity,integer,YES
inventory_links,synced_at,timestamp with time zone,YES
landed_cost_entries,id,integer,NO
landed_cost_entries,sku,text,YES
landed_cost_entries,ii_value,numeric,YES
landed_cost_entries,ipi_value,numeric,YES
landed_cost_entries,pis_value,numeric,YES
landed_cost_entries,cofins_value,numeric,YES
landed_cost_entries,icms_value,numeric,YES
landed_cost_entries,afrmm_value,numeric,YES
landed_cost_entries,landed_cost,numeric,YES
landed_cost_entries,synced_at,timestamp with time zone,YES
shopee_ads_balance,data_timestamp,bigint,NO
shopee_ads_balance,total_balance,numeric,YES
shopee_ads_balance,snapshot_at,timestamp with time zone,YES
shopee_ads_balance,synced_at,timestamp with time zone,YES
shopee_ads_daily_performance,performance_date,date,NO
shopee_ads_daily_performance,impression,integer,YES
shopee_ads_daily_performance,clicks,integer,YES
shopee_ads_daily_performance,ctr,numeric,YES
shopee_ads_daily_performance,direct_order,integer,YES
shopee_ads_daily_performance,broad_order,integer,YES
shopee_ads_daily_performance,direct_conversions,numeric,YES
shopee_ads_daily_performance,broad_conversions,numeric,YES
shopee_ads_daily_performance,direct_item_sold,integer,YES
shopee_ads_daily_performance,broad_item_sold,integer,YES
shopee_ads_daily_performance,direct_gmv,numeric,YES
shopee_ads_daily_performance,broad_gmv,numeric,YES
shopee_ads_daily_performance,expense,numeric,YES
shopee_ads_daily_performance,cost_per_conversion,numeric,YES
shopee_ads_daily_performance,direct_roas,numeric,YES
shopee_ads_daily_performance,broad_roas,numeric,YES
shopee_ads_daily_performance,synced_at,timestamp with time zone,YES
shopee_escrow,order_sn,text,NO
shopee_escrow,buyer_total_amount,numeric,YES
shopee_escrow,escrow_amount,numeric,YES
shopee_escrow,final_shipping_fee,numeric,YES
shopee_escrow,commission_fee,numeric,YES
shopee_escrow,shopee_discount,numeric,YES
shopee_escrow,voucher_from_seller,numeric,YES
shopee_escrow,ship_rebate_from_shopee,numeric,YES
shopee_escrow,coin,numeric,YES
shopee_escrow,service_fee,numeric,YES
shopee_escrow,seller_return_refund,numeric,YES
shopee_escrow,synced_at,timestamp with time zone,YES
shopee_income_overview_snapshots,snapshot_at,timestamp with time zone,NO
shopee_income_overview_snapshots,latest_payout_date,date,YES
shopee_income_overview_snapshots,pending_amount,numeric,YES
shopee_income_overview_snapshots,to_release_amount,numeric,YES
shopee_income_overview_snapshots,released_amount,numeric,YES
shopee_income_overview_snapshots,synced_at,timestamp with time zone,YES
shopee_order_items,id,integer,NO
shopee_order_items,line_key,text,YES
shopee_order_items,order_sn,text,YES
shopee_order_items,item_id,bigint,YES
shopee_order_items,model_id,bigint,YES
shopee_order_items,item_name,text,YES
shopee_order_items,model_name,text,YES
shopee_order_items,quantity,integer,YES
shopee_order_items,unit_price,numeric,YES
shopee_orders,order_sn,text,NO
shopee_orders,status,text,YES
shopee_orders,buyer_username,text,YES
shopee_orders,total_amount,numeric,YES
shopee_orders,payment_method,text,YES
shopee_orders,items_summary,text,YES
shopee_orders,shipping_address,text,YES
shopee_orders,created_at,timestamp with time zone,YES
shopee_orders,updated_at,timestamp with time zone,YES
shopee_orders,synced_at,timestamp with time zone,YES
shopee_products,item_id,bigint,NO
shopee_products,item_name,text,YES
shopee_products,item_sku,text,YES
shopee_products,item_status,text,YES
shopee_products,category_id,bigint,YES
shopee_products,has_model,boolean,YES
shopee_products,weight_g,numeric,YES
shopee_products,width_cm,numeric,YES
shopee_products,height_cm,numeric,YES
shopee_products,length_cm,numeric,YES
shopee_products,image_url,text,YES
shopee_products,views,integer,YES
shopee_products,sales,integer,YES
shopee_products,likes,integer,YES
shopee_products,rating_star,numeric,YES
shopee_products,rating_count,integer,YES
shopee_products,updated_at,timestamp with time zone,YES
shopee_products,synced_at,timestamp with time zone,YES
shopee_products,original_price,numeric,YES
shopee_products,current_price,numeric,YES
